question,answer1,answer2,answer3,answer4,correct,explanation
What does CIA stand for in information security?,Confidentiality Integrity Availability,Central Intelligence Agency,Certified Information Auditor,Computer Incident Analysis,1,The CIA triad is the foundation of information security: Confidentiality (data is private) Integrity (data is accurate) and Availability (data is accessible).
Which encryption type uses the same key for encryption and decryption?,Symmetric,Asymmetric,Hashing,Digital Signature,1,Symmetric encryption (e.g. AES) uses one shared key. Asymmetric uses a key pair (public/private).
What port does HTTPS use by default?,80,443,8080,22,2,HTTPS uses port 443. HTTP uses port 80. SSH uses port 22.
What is phishing?,A social engineering attack using fake emails,A network scanning technique,A type of malware,A firewall bypass method,1,Phishing tricks users into revealing credentials or clicking malicious links through deceptive emails or websites.
Which protocol provides secure remote access?,Telnet,SSH,FTP,HTTP,2,SSH (Secure Shell port 22) encrypts the entire session. Telnet transmits in plaintext.
What is the purpose of a DMZ?,Isolate public-facing servers from internal network,Encrypt data at rest,Monitor network traffic,Back up critical data,1,A DMZ (Demilitarized Zone) places public servers between two firewalls to protect the internal network.
What type of attack exploits a buffer overflow?,Code injection,SQL injection,Cross-site scripting,Stack smashing,4,Buffer overflow / stack smashing overwrites memory beyond allocated buffers to execute arbitrary code.
What does SIEM stand for?,Security Information and Event Management,Secure Internet Email Management,System Integration and Error Monitoring,Server Infrastructure Event Monitoring,1,SIEM systems collect and analyze security logs from multiple sources for threat detection.
Which authentication factor is something you are?,Password,Smart card,Fingerprint,PIN,3,Biometrics (fingerprint iris face) are something you are. Passwords/PINs are something you know. Smart cards are something you have.
What is the principle of least privilege?,Users get minimum access needed for their job,All users get admin access,Access is granted based on seniority,Privileges are assigned alphabetically,1,Least privilege limits user permissions to only what is necessary reducing the attack surface.
